market_class,market_class_label,country_iso3,gics_code,sector,period,monthly_returns,first_return_month,last_return_month,efficiency_score,inefficiency_distance,vr_2m,vr_3m,vr_6m
emerging,Developing (MSCI Emerging proxy),BRA,15,Materials,2022-2025,48,2022-01-31,2025-12-31,0.888598190972612,0.11140180902738805,1.0075758850175747,1.1450961296339202,0.8184665875693306
emerging,Developing (MSCI Emerging proxy),BRA,55,Utilities,2022-2025,48,2022-01-31,2025-12-31,0.9049642172627625,0.09503578273723745,0.9802055563634535,1.030505914958148,0.7651930103829819
emerging,Developing (MSCI Emerging proxy),BRA,25,Consumer Discretionary,2022-2025,48,2022-01-31,2025-12-31,0.9149679923099601,0.08503200769003993,1.0020302510988783,1.0680455331560692,0.8149797611848278
emerging,Developing (MSCI Emerging proxy),BRA,40,Financials,2022-2025,48,2022-01-31,2025-12-31,0.6366553750596384,0.36334462494036157,0.7656629005783739,0.7504268309747847,0.39387639362575644
emerging,Developing (MSCI Emerging proxy),BRA,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.526677863516777,0.47332213648322297,0.6177714819800408,0.6049208080763679,0.3573413004939221
emerging,Developing (MSCI Emerging proxy),BRA,30,Consumer Staples,2022-2025,48,2022-01-31,2025-12-31,0.6876145661420872,0.31238543385791284,0.8785192271791424,0.8174337427924372,0.3668907284546818
emerging,Developing (MSCI Emerging proxy),BRA,35,Health Care,2022-2025,48,2022-01-31,2025-12-31,0.8373941597096108,0.16260584029038916,1.0938493747286993,1.08156845486922,0.6876003087267516
developed,Developed,CAN,45,Information Technology,2008-2010,36,2008-01-31,2010-12-31,0.06562611976937449,0.9343738802306255,1.404079621757612,1.7520561878507148,2.64698583108355
developed,Developed,CAN,25,Consumer Discretionary,2008-2010,36,2008-01-31,2010-12-31,0.3161661139763464,0.6838338860236536,1.2720693282725404,1.4074015732032983,2.372030756595122
developed,Developed,CAN,50,Communication Services,2008-2010,36,2008-01-31,2010-12-31,0.3211422387510514,0.6788577612489486,1.2427889346762164,1.528275140114598,2.2655092089560314
developed,Developed,CAN,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,0.2569341639114583,0.7430658360885417,1.3282749214355445,1.509628439934335,2.391294146895746
developed,Developed,CAN,30,Consumer Staples,2008-2010,36,2008-01-31,2010-12-31,0.8190995689624491,0.18090043103755094,1.0845237355540087,1.0526743029509318,1.4055032546077122
developed,Developed,CAN,10,Energy,2008-2010,36,2008-01-31,2010-12-31,0.30115028890660545,0.6988497110933946,1.259799696753871,1.582233440474445,2.254515996051868
developed,Developed,CAN,15,Materials,2008-2010,36,2008-01-31,2010-12-31,0.6144196109817948,0.38558038901820524,1.1853713023668762,1.338825561006965,1.6325443036807747
developed,Developed,CAN,35,Health Care,2008-2010,36,2008-01-31,2010-12-31,0.2352267406610521,0.7647732593389479,1.3101691973155574,1.5167388877412054,2.4674116929600807
developed,Developed,CAN,55,Utilities,2008-2010,36,2008-01-31,2010-12-31,0.04350831062774463,0.9564916893722554,1.4177897300441429,1.737055094330215,2.714630243742408
developed,Developed,CAN,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.2622020023764092,0.7377979976235908,1.2933647987823969,1.5880661051648308,2.3319630889235445
developed,Developed,CAN,45,Information Technology,2020-2021,24,2020-01-31,2021-12-31,0.7213689472331525,0.2786310527668475,1.0468738968332827,0.8740050076333836,0.3369757308993565
developed,Developed,CAN,25,Consumer Discretionary,2020-2021,24,2020-01-31,2021-12-31,0.8724121742607338,0.1275878257392662,1.0961005319857395,1.1031692282721655,0.8165062830401065
developed,Developed,CAN,50,Communication Services,2020-2021,24,2020-01-31,2021-12-31,0.6992105062509129,0.30078949374908714,1.2613040215535316,1.3355017550601418,1.305562704633588
developed,Developed,CAN,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.8026908353904293,0.1973091646095707,0.9805841454006684,0.8427604638620442,0.5847278969085754
developed,Developed,CAN,30,Consumer Staples,2020-2021,24,2020-01-31,2021-12-31,0.9008225286603553,0.09917747133964472,1.0061378643714196,0.9694867629076254,0.7391186874448602
developed,Developed,CAN,10,Energy,2020-2021,24,2020-01-31,2021-12-31,0.9107716180922245,0.08922838190777549,1.0735927074793636,1.0681755314265333,0.8740830931825705
developed,Developed,CAN,15,Materials,2020-2021,24,2020-01-31,2021-12-31,0.8558335865001679,0.14416641349983206,0.962898222438568,0.9030692622044282,0.7015332748575076
developed,Developed,CAN,35,Health Care,2020-2021,24,2020-01-31,2021-12-31,0.7106114913127872,0.2893885086872128,1.2440276577233187,1.3255033790103714,1.2986344893279482
developed,Developed,CAN,55,Utilities,2020-2021,24,2020-01-31,2021-12-31,0.8314108354871801,0.1685891645128199,0.9053667946105507,0.929469810203704,0.6593959016472855
developed,Developed,CAN,40,Financials,2020-2021,24,2020-01-31,2021-12-31,0.7698025101065916,0.23019748989340838,1.21912338579826,1.3463817683134292,1.125087315568536
developed,Developed,CAN,60,Real Estate,2020-2021,24,2020-01-31,2021-12-31,0.8950809010670754,0.10491909893292461,0.9631194791664426,1.0404313381662311,0.7625545622010146
developed,Developed,CAN,45,Information Technology,2022-2025,48,2022-01-31,2025-12-31,0.9378480153772977,0.06215198462270233,0.930171415268357,1.0795590496900613,1.0370683194464028
