market_class,market_class_label,period,gics_code,sector,country_count,countries_iso3,mean_efficiency_score,population_sd_country_scores,mean_vr_2m,mean_vr_3m,mean_vr_6m
emerging,Developing (MSCI Emerging proxy),2022-2025,60,Real Estate,14,"CHN,EGY,IDN,IND,KOR,KWT,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.8030181472079445,0.09105269151329558,1.0337868296214234,0.9790736356481401,0.9781695593743995
frontier,Frontier,2008-2010,15,Materials,4,"JOR,LKA,MAR,PAK",0.528251830816603,0.20074050730870124,1.1597434396278117,1.3612133876546486,1.8584638167987668
frontier,Frontier,2008-2010,20,Industrials,3,"HRV,LKA,VNM",0.31865769443599884,0.13316931004548874,1.3183881918296447,1.557147393105199,2.1684913317571595
frontier,Frontier,2008-2010,25,Consumer Discretionary,2,"HRV,LKA",0.3443512560712193,0.24061157923581555,1.3353811378157092,1.4798832526913497,2.151681841279283
frontier,Frontier,2008-2010,30,Consumer Staples,2,"HRV,LKA",0.34684592262164016,0.08473494374298896,1.3065072262714326,1.4359870554051968,2.21696795045845
frontier,Frontier,2008-2010,40,Financials,10,"BGD,BHR,HRV,JOR,KEN,LKA,MAR,OMN,PAK,TUN",0.42331359974888993,0.3541540092368665,1.2783305542966472,1.4653168347584153,1.9845483775288533
frontier,Frontier,2020-2021,10,Energy,2,"PAK,VNM",0.7037634684683414,0.009972947533555654,0.9251410888822353,0.7096878532529651,0.4764614632698236
frontier,Frontier,2020-2021,15,Materials,3,"OMN,PAK,VNM",0.8473349735143287,0.04006821766518676,0.9157548952316253,0.7610477766889355,0.8859151562570711
frontier,Frontier,2020-2021,20,Industrials,6,"HRV,OMN,PAK,ROU,TUN,VNM",0.6311616293583987,0.27899812537375845,1.2300186148960002,1.3151227865813488,1.3058313140453561
frontier,Frontier,2020-2021,25,Consumer Discretionary,5,"HRV,MUS,PAK,TUN,VNM",0.7399105811603979,0.10982108254696,1.172061446202583,1.237831456251262,0.9130112367093544
frontier,Frontier,2020-2021,30,Consumer Staples,3,"HRV,PAK,VNM",0.7278037510787271,0.07846702081980327,1.233647320510849,1.1693676139517006,0.9125271468965906
frontier,Frontier,2020-2021,35,Health Care,2,"PAK,VNM",0.6420011071091076,0.19054899740825965,0.9215916486187661,0.7884408761629401,0.7183204829935149
frontier,Frontier,2020-2021,40,Financials,8,"CIV,KEN,MAR,MUS,OMN,PAK,TUN,VNM",0.7718599365821286,0.07539839681149067,1.1312332310981974,1.100794387328981,0.8786743633219407
frontier,Frontier,2020-2021,45,Information Technology,1,VNM,0.7864399608441626,0.0,0.8404766263730338,0.837635705031329,0.681207551128125
frontier,Frontier,2020-2021,55,Utilities,3,"OMN,PAK,VNM",0.7944907776248297,0.08367112923112324,0.9649100354892094,0.8285556363916852,0.6027648844484378
frontier,Frontier,2020-2021,60,Real Estate,1,VNM,0.8738302580889631,0.0,1.0342605438158539,1.0200535717702863,0.6758048898530296
frontier,Frontier,2022-2025,10,Energy,2,"PAK,VNM",0.8597218471180845,0.048401422414131035,1.0025451425441412,1.0098129992247145,1.1379364105618197
frontier,Frontier,2022-2025,15,Materials,7,"BGD,JOR,LKA,OMN,PAK,ROU,VNM",0.6952775776197876,0.22479448988957873,1.1955519188232877,1.3149723895221916,1.2826680084544222
frontier,Frontier,2022-2025,20,Industrials,8,"BGD,HRV,LKA,MAR,OMN,PAK,ROU,VNM",0.6507801233374346,0.3441171589940677,1.154895200082695,1.2649630980667652,1.4478780929696842
frontier,Frontier,2022-2025,25,Consumer Discretionary,7,"BGD,HRV,JOR,LKA,MUS,PAK,VNM",0.7344242578507909,0.17170157066662198,1.1375658175667822,1.2708779467928406,1.263008981643109
frontier,Frontier,2022-2025,30,Consumer Staples,5,"BGD,LKA,OMN,PAK,VNM",0.6663457373954221,0.17141992394217523,1.1456692216600006,1.1943481611084932,1.0232605608577139
frontier,Frontier,2022-2025,35,Health Care,3,"BGD,PAK,VNM",0.6352527014833941,0.2807652112566619,1.1797183627854895,1.3184609960398663,1.5549640303615246
frontier,Frontier,2022-2025,40,Financials,11,"BGD,CIV,JOR,KEN,LKA,MAR,MUS,OMN,PAK,TUN,VNM",0.7087358523548094,0.19741049798347968,1.1326999688755117,1.2266675377589777,1.3360955325850519
frontier,Frontier,2022-2025,45,Information Technology,1,VNM,0.9124557980734858,0.0,1.1111461686065756,0.9763870352395702,0.8721265275874627
frontier,Frontier,2022-2025,55,Utilities,4,"BGD,OMN,PAK,VNM",0.6532512963520319,0.29292575102654234,1.0366165919834378,1.1108706693192711,1.1587094531097253
frontier,Frontier,2022-2025,60,Real Estate,1,VNM,0.2931018630169415,0.0,1.2644795989249156,1.533864768477492,2.322350043546768
